Item_number_tool,GlassTypeDescription,GlazingType,GlazingName,SHGC,SC,U_value_excl_frame,U_value_incl_frame,968Temp_NoBlind,968Temp_LightBlind,968Temp_MediumBlind,968Temp_DarkRollerBlind,968Temp_VenetianBlind,783Temp_NoBlind,783Temp_LightBlind,783Temp_MediumBlind,783Temp_DarkRollerBlind,783Temp_VenetianBlind,400Temp_NoBlind,400Temp_LightBlind,400Temp_MediumBlind,400Temp_DarkRollerBlind,400Temp_VenetianBlind
1,Single Clear (SHGC 0.82),Single Clear,Clear Glazing Reference,0.82,0.941,5.8,7.9,32.44490862,40.86005222,54.29046998,67.72088773,48.31592689,32.3,38.3,49.75,61.2,44.5,32,33,40.35,47.7,36.6
2,Single (SHGC 0.60),Single,SolarVue XHL Neutral,0.608,0.699,5.8,7.9,44.30496084,39.09060052,47.32065026,55.5507,48.9091,41.6,37.4,44.35,51.3,44.9,36,33.9,38.2,42.5,36.6
3,Single (SHGC 0.52),Single,SolarVue XHL Grey,0.52,0.598,5.8,7.9,49.91592689,43.83968668,47.28459334,50.7295,45.4948,46.1,40.7,44,47.3,42.5,38.2,34.2,37.2,40.2,36.3
4,Single (SHGC 0.42),Single,S30 Grey ,0.42,0.483,5.8,7.9,52.89556136,43.34308094,47.29349047,51.2439,46.971,48.5,40.3,43.55,46.8,43.3,39.4,34,35.8,37.6,35.7
4,Single (SHGC 0.47),Single,Solarvue HL Grey,0.472,0.542,5.8,7.9,51.65065274,43.78798956,45.89139478,47.9948,44.205,47.4,40.6,42.8,45,41.5,38.6,34,36.4,38.8,35.9
5,Single (SHGC 0.30 ),Single,S10 Grey,0.307,0.353,5.8,7.9,54.18877285,41.75326371,43.26893186,44.7846,44.188,49.6,39,40.25,41.5,41,40.1,33.3,34,34.7,34.4
10,Single Low E (SHGC 0.62),SglLoE,SAFETYSHIELD 6mm Eclipse Advantage Clear ,0.62,0.72,3.8,5.73,39.93890339,36.69399478,48.80534739,60.9167,47.7125,38.2,35.1,45.4,55.7,43.8,34.6,31.8,38.35,44.9,35.7
11,Single Low E (SHGC 0.52),SglLoE,SAFETYSHIELD 6mm Solar E Clear ,0.52,0.61,3.7,5.73,50.17101828,39.46344648,47.18287324,54.9023,45.6744,46.5,37,43.85,50.7,42.1,38.9,31.9,36.95,42,34.7
12,Single Low E (SHGC 0.37),SglLoE,SAFETYSHIELD 6mm Solar E Grey,0.37,0.42,3.7,5.73,58.22010444,38.66684073,41.86177037,45.0567,42.6914,53.1,36.3,39.35,42.4,39.6,42.5,31.4,34.15,36.9,33.2
13,Single Low E (SHGC 0.27),SglLoE,S20  Grey low E,0.269,0.309,3.7,5.73,60.60313316,37.42532637,40.45666319,43.488,39.3668,55,35.3,37.8,40.3,37,43.4,30.9,32.3,33.7,32.1
6,Double Clear (SHGC 0.70),Double Clear,double clear reference,0.703,0.808,2.7,4.23,38.3770235,44.68120104,57.97560052,71.27,53.6752,36.3,41.3,52.3,63.3,48.7,32,34.3,40.55,46.8,38.4
7,Double (SHGC 0.49),Double,SolarVue XHL Neutral - 12 air gap - clear,0.493,0.566,2.7,4.23,40.2151436,42.1464752,51.0404876,59.9345,44.7016,37.8,39.2,46.5,53.8,41.9,32.8,33.1,37.1,41.1,36.1
8,Double (SHGC 0.43),Double,SolarVue HL Neutral - 12 air gap - clear,0.428,0.492,2.6,4.23,40.51174935,40.36005222,44.37742611,48.3948,48.2091,38,37.8,41.6,45.4,44.2,32.8,32.5,35.85,39.2,35.9
9,Double (SHGC 0.25),Double,S20Grey - air gap - clear,0.248,0.285,2.7,4.23,42.7464752,38.51853786,41.25156893,43.9846,41.8465,39.8,36.2,38.45,40.7,38.9,33.7,31.4,32.65,33.9,32.8
15,Double with Low E coating on #2 (SHGC 0.55),DblLoE,THERMOSHIELD 6mm Eclipse Advantage Clear #2 - 12mm air gap - 6mm Clear Safetyshield,0.55,0.63,2,3.401,36.38381201,37.99738903,46.83079452,55.6642,52.282,34.5,36.5,44.15,51.8,47.5,30.6,33.4,38.6,43.8,37.6
16,Double with Low E coating on #2   (SHGC 0.45),DblLoE,THERMOSHIELD 6mm Solar E Clear #2 - 12mm air gap - 6mm Clear Safetyshield,0.45,0.51,1.9,3.401,37.52532637,41.14986945,45.74478473,50.3397,48.0574,35.4,38.3,42.75,47.2,44,31,32.4,36.55,40.7,35.6
17,Double with Low E coating on #2  (SHGC 0.26),DblLoE,THERMOSHIELD 6mm Solar E PLUS Grey #2 - 12mm air gap - 6mm Clear Safetyshield,0.26,0.3,1.9,3.401,38.12193211,36.92532637,38.87191319,40.8185,42.5397,35.9,34.8,36.65,38.5,39.4,31.3,30.4,32.05,33.7,32.9
18,Soft Coated Double (SHGC 0.26),SftCoated,SKN 154 - 12 mm - 4mm planilux,0.264,0.303,1.6,3.4,30.91775457,34.24229765,40.70154883,47.1608,39.2601,30,32.6,37.9,43.2,36.7,28.1,29.2,32.1,35,31.4
19,Soft Coated Double (SHGC 0.21),SftCoated,THERMOSHIELD 6mm Stopray Smart 30/20 #2  - 12mm air gap - 6mm Clear Safetyshield,0.215,0.247,1.7,3.4,32.95587467,34.24229765,38.73929504,43.23629243,38.16684073,31.7,32.6,36.3,40,35.8,29.1,29.2,31.25,33.3,30.9
